Region,Sales Amount
West,100.12
West,106.47
West,152.6
West,177.63
West,182.8
West,189.48
West,219.82
West,220.35
West,267.78
West,279.43
West,289.38
West,485.41
West,534.61
West,618.31
West,656.14
West,758.99
West,765.83
West,776.7
West,777.74
West,803.25
West,823.51
West,919.09
West,961.47
West,1011.46
West,1016.99
West,1099.68
West,1103.59
West,1143.39
West,1193.28
West,1260.32
West,1263.76
West,1290.05
West,1365.88
West,1383.82
West,1493.95
West,1514.14
West,1554.93
West,1558.03
West,1558.3
West,1600.79
West,1629.47
West,1688.58
West,1740.92
West,1780.31
West,1781.82
West,1799.77
West,1837.37
West,1897.98
West,1934.18
West,2049.56
West,2154.66
West,2184.02
West,2198.74
West,2301.38
West,2491.21
West,2494.74
West,2550.84
West,2559
West,2584.91
West,2607.4
West,2719.89
West,2749.17
West,2758.77
West,2792.27
West,2825.35
West,2842.42
West,2858.57
West,2896.54
West,2896.71
West,2945.36
West,3003.76
West,3023.48
West,3063.9
West,3080.36
West,3098.87
West,3111.57
West,3166.9
West,3196.5
West,3279.51
West,3333.73
West,3595.2
West,3607.29
West,3634.59
West,3668.23
West,3677.9
West,3741.08
West,3747.64
West,3755.88
West,3761.15
West,3780.07
West,3808.03
West,3889.71
West,3939.48
West,3979.41
West,4025.88
West,4038.58
West,4040.25
West,4050.45
West,4102.47
West,4155.74
West,4195.06
West,4241.51
West,4291.02
West,4376.99
West,4384.02
West,4422.48
West,4448.18
West,4478.71
West,4567.81
West,4598.02
West,4643.51
West,4694.54
West,4695.96
West,4860.81
West,4883.49
West,4902.44
West,4929.56
West,5012.96
West,5127.27
West,5187.16
West,5228.28
West,5238.42
West,5260.83
West,5262.45
West,5324.01
West,5401.98
West,5405.76
West,5437.04
West,5571.8
West,5617.64
West,5720.5
West,5738.44
West,5751.69
West,5760.29
West,5809.35
West,5835.21
West,5848.92
West,5851.41
West,5878.76
West,5879.35
West,5910.67
West,5952.19
West,5969.12
West,5972.27
West,5993.5
West,6008.83
West,6139.07
West,6171.59
West,6206.16
West,6261.2
West,6360.67
West,6395.95
West,6400.11
West,6413.11
West,6581.04
West,6600.65
West,6607.8
West,6644.04
West,6705.4
West,6710.83
West,6757.36
West,6792.66
West,6882.83
West,6885.89
West,6939.75
West,6970.1
West,7066.63
West,7116.78
West,7122.28
West,7146.06
West,7154.95
West,7169.12
West,7179.49
West,7212.69
West,7315.73
West,7316.91
West,7354.06
West,7413.36
West,7442.25
West,7454.53
West,7499.7
West,7527.63
West,7534.3
West,7542.3
West,7591.63
West,7611.28
West,7617
West,7646.8
West,7667.96
West,7734.12
West,7739.11
West,7825.72
West,7828.25
West,7841.4
West,7896.74
West,8003.1
West,8020.03
West,8047.83
West,8049.72
West,8055.02
West,8070.39
West,8085.98
West,8231.74
West,8239.58
West,8271.62
West,8374.68
West,8397.73
West,8401.07
West,8417.07
West,8499.41
West,8552.47
West,8564.8
West,8579.72
West,8640.14
West,8660.12
West,8719.62
West,8727
West,8785.77
West,8786.95
West,8803.94
West,8821.63
West,8906.24
West,8912.4
West,9087.6
West,9088.2
West,9146.51
West,9215.32
West,9215.59
West,9278.4
West,9333.83
West,9335.96
West,9396.78
West,9413.77
West,9422.75
West,9450.04
West,9469.92
West,9472.66
West,9509.55
West,9519.09
West,9605.34
West,9638.64
West,9733.46
West,9762.54
West,9933.22
